period,first_of_month_prior12,first_of_month,period_name,Days_In_Last_3_Months,qtr,first_of_month_prior6,qtr_name,first_of_month_prior3,month_end,periodkey,days_in_month,month_end_prior6,fyyear,
3.0,2017-04-01 00:00:00.0,2018-03-01 00:00:00.0,March-2018,90,1.0,2017-10-01 00:00:00.0,1ST QUARTER - 2018,2018-01-01 00:00:00.0,2018-03-31 00:00:00.0,201803,31.0,2017-10-31 00:00:00.0,2018.0,
4.0,2017-05-01 00:00:00.0,2018-04-01 00:00:00.0,April-2018,89,2.0,2017-11-01 00:00:00.0,2ND QUARTER - 2018,2018-02-01 00:00:00.0,2018-04-30 00:00:00.0,201804,30.0,2017-11-30 00:00:00.0,2018.0,
5.0,2017-06-01 00:00:00.0,2018-05-01 00:00:00.0,May-2018,92,2.0,2017-12-01 00:00:00.0,2ND QUARTER - 2018,2018-03-01 00:00:00.0,2018-05-31 00:00:00.0,201805,31.0,2017-12-31 00:00:00.0,2018.0,
6.0,2017-07-01 00:00:00.0,2018-06-01 00:00:00.0,June-2018,91,2.0,2018-01-01 00:00:00.0,2ND QUARTER - 2018,2018-04-01 00:00:00.0,2018-06-30 00:00:00.0,201806,30.0,2018-01-31 00:00:00.0,2018.0,
7.0,2017-08-01 00:00:00.0,2018-07-01 00:00:00.0,July-2018,92,3.0,2018-02-01 00:00:00.0,3RD QUARTER - 2018,2018-05-01 00:00:00.0,2018-07-31 00:00:00.0,201807,31.0,2018-02-28 00:00:00.0,2018.0,
8.0,2017-09-01 00:00:00.0,2018-08-01 00:00:00.0,August-2018,92,3.0,2018-03-01 00:00:00.0,3RD QUARTER - 2018,2018-06-01 00:00:00.0,2018-08-31 00:00:00.0,201808,31.0,2018-03-31 00:00:00.0,2018.0,
9.0,2017-10-01 00:00:00.0,2018-09-01 00:00:00.0,September-2018,92,3.0,2018-04-01 00:00:00.0,3RD QUARTER - 2018,2018-07-01 00:00:00.0,2018-09-30 00:00:00.0,201809,30.0,2018-04-30 00:00:00.0,2018.0,
10.0,2017-11-01 00:00:00.0,2018-10-01 00:00:00.0,October-2018,92,4.0,2018-05-01 00:00:00.0,4TH QUARTER - 2018,2018-08-01 00:00:00.0,2018-10-31 00:00:00.0,201810,31.0,2018-05-31 00:00:00.0,2018.0,
11.0,2017-12-01 00:00:00.0,2018-11-01 00:00:00.0,November-2018,91,4.0,2018-06-01 00:00:00.0,4TH QUARTER - 2018,2018-09-01 00:00:00.0,2018-11-30 00:00:00.0,201811,30.0,2018-06-30 00:00:00.0,2018.0,
12.0,2018-01-01 00:00:00.0,2018-12-01 00:00:00.0,December-2018,92,4.0,2018-07-01 00:00:00.0,4TH QUARTER - 2018,2018-10-01 00:00:00.0,2018-12-31 00:00:00.0,201812,31.0,2018-07-31 00:00:00.0,2018.0,
1.0,2018-02-01 00:00:00.0,2019-01-01 00:00:00.0,January-2019,92,1.0,2018-08-01 00:00:00.0,1ST QUARTER - 2019,2018-11-01 00:00:00.0,2019-01-31 00:00:00.0,201901,31.0,2018-08-31 00:00:00.0,2019.0,
2.0,2018-03-01 00:00:00.0,2019-02-01 00:00:00.0,February-2019,90,1.0,2018-09-01 00:00:00.0,1ST QUARTER - 2019,2018-12-01 00:00:00.0,2019-02-28 00:00:00.0,201902,28.0,2018-09-30 00:00:00.0,2019.0,
3.0,2018-04-01 00:00:00.0,2019-03-01 00:00:00.0,March-2019,90,1.0,2018-10-01 00:00:00.0,1ST QUARTER - 2019,2019-01-01 00:00:00.0,2019-03-31 00:00:00.0,201903,31.0,2018-10-31 00:00:00.0,2019.0,
4.0,2018-05-01 00:00:00.0,2019-04-01 00:00:00.0,April-2019,89,2.0,2018-11-01 00:00:00.0,2ND QUARTER - 2019,2019-02-01 00:00:00.0,2019-04-30 00:00:00.0,201904,30.0,2018-11-30 00:00:00.0,2019.0,
5.0,2018-06-01 00:00:00.0,2019-05-01 00:00:00.0,May-2019,92,2.0,2018-12-01 00:00:00.0,2ND QUARTER - 2019,2019-03-01 00:00:00.0,2019-05-31 00:00:00.0,201905,31.0,2018-12-31 00:00:00.0,2019.0,
6.0,2018-07-01 00:00:00.0,2019-06-01 00:00:00.0,June-2019,91,2.0,2019-01-01 00:00:00.0,2ND QUARTER - 2019,2019-04-01 00:00:00.0,2019-06-30 00:00:00.0,201906,30.0,2019-01-31 00:00:00.0,2019.0,
7.0,2018-08-01 00:00:00.0,2019-07-01 00:00:00.0,July-2019,92,3.0,2019-02-01 00:00:00.0,3RD QUARTER - 2019,2019-05-01 00:00:00.0,2019-07-31 00:00:00.0,201907,31.0,2019-02-28 00:00:00.0,2019.0,
8.0,2018-09-01 00:00:00.0,2019-08-01 00:00:00.0,August-2019,92,3.0,2019-03-01 00:00:00.0,3RD QUARTER - 2019,2019-06-01 00:00:00.0,2019-08-31 00:00:00.0,201908,31.0,2019-03-31 00:00:00.0,2019.0,
9.0,2018-10-01 00:00:00.0,2019-09-01 00:00:00.0,September-2019,92,3.0,2019-04-01 00:00:00.0,3RD QUARTER - 2019,2019-07-01 00:00:00.0,2019-09-30 00:00:00.0,201909,30.0,2019-04-30 00:00:00.0,2019.0,
