period,first_of_month_prior12,first_of_month,period_name,Days_In_Last_3_Months,qtr,first_of_month_prior6,qtr_name,first_of_month_prior3,month_end,periodkey,days_in_month,month_end_prior6,fyyear,
9.0,2015-10-01 00:00:00.0,2016-09-01 00:00:00.0,September-2016,92,3.0,2016-04-01 00:00:00.0,3RD QUARTER - 2016,2016-07-01 00:00:00.0,2016-09-30 00:00:00.0,201609,30.0,2016-04-30 00:00:00.0,2016.0,
10.0,2015-11-01 00:00:00.0,2016-10-01 00:00:00.0,October-2016,92,4.0,2016-05-01 00:00:00.0,4TH QUARTER - 2016,2016-08-01 00:00:00.0,2016-10-31 00:00:00.0,201610,31.0,2016-05-31 00:00:00.0,2016.0,
11.0,2015-12-01 00:00:00.0,2016-11-01 00:00:00.0,November-2016,91,4.0,2016-06-01 00:00:00.0,4TH QUARTER - 2016,2016-09-01 00:00:00.0,2016-11-30 00:00:00.0,201611,30.0,2016-06-30 00:00:00.0,2016.0,
12.0,2016-01-01 00:00:00.0,2016-12-01 00:00:00.0,December-2016,92,4.0,2016-07-01 00:00:00.0,4TH QUARTER - 2016,2016-10-01 00:00:00.0,2016-12-31 00:00:00.0,201612,31.0,2016-07-31 00:00:00.0,2016.0,
1.0,2010-02-01 00:00:00.0,2011-01-01 00:00:00.0,January-2011,null,1.0,2010-08-01 00:00:00.0,1ST QUARTER - 2011,2010-11-01 00:00:00.0,2011-01-31 00:00:00.0,201101,31.0,2010-08-31 00:00:00.0,2011.0,
2.0,2010-03-01 00:00:00.0,2011-02-01 00:00:00.0,February-2011,null,1.0,2010-09-01 00:00:00.0,1ST QUARTER - 2011,2010-12-01 00:00:00.0,2011-02-28 00:00:00.0,201102,28.0,2010-09-30 00:00:00.0,2011.0,
3.0,2010-04-01 00:00:00.0,2011-03-01 00:00:00.0,March-2011,90,1.0,2010-10-01 00:00:00.0,1ST QUARTER - 2011,2011-01-01 00:00:00.0,2011-03-31 00:00:00.0,201103,31.0,2010-10-31 00:00:00.0,2011.0,
4.0,2010-05-01 00:00:00.0,2011-04-01 00:00:00.0,April-2011,89,2.0,2010-11-01 00:00:00.0,2ND QUARTER - 2011,2011-02-01 00:00:00.0,2011-04-30 00:00:00.0,201104,30.0,2010-11-30 00:00:00.0,2011.0,
5.0,2010-06-01 00:00:00.0,2011-05-01 00:00:00.0,May-2011,92,2.0,2010-12-01 00:00:00.0,2ND QUARTER - 2011,2011-03-01 00:00:00.0,2011-05-31 00:00:00.0,201105,31.0,2010-12-31 00:00:00.0,2011.0,
6.0,2010-07-01 00:00:00.0,2011-06-01 00:00:00.0,June-2011,91,2.0,2011-01-01 00:00:00.0,2ND QUARTER - 2011,2011-04-01 00:00:00.0,2011-06-30 00:00:00.0,201106,30.0,2011-01-31 00:00:00.0,2011.0,
7.0,2010-08-01 00:00:00.0,2011-07-01 00:00:00.0,July-2011,92,3.0,2011-02-01 00:00:00.0,3RD QUARTER - 2011,2011-05-01 00:00:00.0,2011-07-31 00:00:00.0,201107,31.0,2011-02-28 00:00:00.0,2011.0,
8.0,2010-09-01 00:00:00.0,2011-08-01 00:00:00.0,August-2011,92,3.0,2011-03-01 00:00:00.0,3RD QUARTER - 2011,2011-06-01 00:00:00.0,2011-08-31 00:00:00.0,201108,31.0,2011-03-31 00:00:00.0,2011.0,
9.0,2010-10-01 00:00:00.0,2011-09-01 00:00:00.0,September-2011,92,3.0,2011-04-01 00:00:00.0,3RD QUARTER - 2011,2011-07-01 00:00:00.0,2011-09-30 00:00:00.0,201109,30.0,2011-04-30 00:00:00.0,2011.0,
10.0,2010-11-01 00:00:00.0,2011-10-01 00:00:00.0,October-2011,92,4.0,2011-05-01 00:00:00.0,4TH QUARTER - 2011,2011-08-01 00:00:00.0,2011-10-31 00:00:00.0,201110,31.0,2011-05-31 00:00:00.0,2011.0,
11.0,2010-12-01 00:00:00.0,2011-11-01 00:00:00.0,November-2011,91,4.0,2011-06-01 00:00:00.0,4TH QUARTER - 2011,2011-09-01 00:00:00.0,2011-11-30 00:00:00.0,201111,30.0,2011-06-30 00:00:00.0,2011.0,
12.0,2011-01-01 00:00:00.0,2011-12-01 00:00:00.0,December-2011,92,4.0,2011-07-01 00:00:00.0,4TH QUARTER - 2011,2011-10-01 00:00:00.0,2011-12-31 00:00:00.0,201112,31.0,2011-07-31 00:00:00.0,2011.0,
1.0,2011-02-01 00:00:00.0,2012-01-01 00:00:00.0,January-2012,92,1.0,2011-08-01 00:00:00.0,1ST QUARTER - 2012,2011-11-01 00:00:00.0,2012-01-31 00:00:00.0,201201,31.0,2011-08-31 00:00:00.0,2012.0,
2.0,2011-03-01 00:00:00.0,2012-02-01 00:00:00.0,February-2012,91,1.0,2011-09-01 00:00:00.0,1ST QUARTER - 2012,2011-12-01 00:00:00.0,2012-02-29 00:00:00.0,201202,29.0,2011-09-30 00:00:00.0,2012.0,
3.0,2011-04-01 00:00:00.0,2012-03-01 00:00:00.0,March-2012,91,1.0,2011-10-01 00:00:00.0,1ST QUARTER - 2012,2012-01-01 00:00:00.0,2012-03-31 00:00:00.0,201203,31.0,2011-10-31 00:00:00.0,2012.0,
4.0,2011-05-01 00:00:00.0,2012-04-01 00:00:00.0,April-2012,90,2.0,2011-11-01 00:00:00.0,2ND QUARTER - 2012,2012-02-01 00:00:00.0,2012-04-30 00:00:00.0,201204,30.0,2011-11-30 00:00:00.0,2012.0,
5.0,2011-06-01 00:00:00.0,2012-05-01 00:00:00.0,May-2012,92,2.0,2011-12-01 00:00:00.0,2ND QUARTER - 2012,2012-03-01 00:00:00.0,2012-05-31 00:00:00.0,201205,31.0,2011-12-31 00:00:00.0,2012.0,
6.0,2011-07-01 00:00:00.0,2012-06-01 00:00:00.0,June-2012,91,2.0,2012-01-01 00:00:00.0,2ND QUARTER - 2012,2012-04-01 00:00:00.0,2012-06-30 00:00:00.0,201206,30.0,2012-01-31 00:00:00.0,2012.0,
7.0,2011-08-01 00:00:00.0,2012-07-01 00:00:00.0,July-2012,92,3.0,2012-02-01 00:00:00.0,3RD QUARTER - 2012,2012-05-01 00:00:00.0,2012-07-31 00:00:00.0,201207,31.0,2012-02-29 00:00:00.0,2012.0,
8.0,2011-09-01 00:00:00.0,2012-08-01 00:00:00.0,August-2012,92,3.0,2012-03-01 00:00:00.0,3RD QUARTER - 2012,2012-06-01 00:00:00.0,2012-08-31 00:00:00.0,201208,31.0,2012-03-31 00:00:00.0,2012.0,
9.0,2011-10-01 00:00:00.0,2012-09-01 00:00:00.0,September-2012,92,3.0,2012-04-01 00:00:00.0,3RD QUARTER - 2012,2012-07-01 00:00:00.0,2012-09-30 00:00:00.0,201209,30.0,2012-04-30 00:00:00.0,2012.0,
